,0
0,13.333333333333334
1,33.33333333333333
2,36.666666666666664
3,30.0
4,36.666666666666664
5,20.0
6,26.666666666666668
7,36.666666666666664
8,40.0
9,53.333333333333336
10,30.0
11,26.666666666666668
12,20.0
13,26.666666666666668
14,36.666666666666664
15,46.666666666666664
16,36.666666666666664
17,43.333333333333336
18,23.333333333333332
19,36.666666666666664
20,43.333333333333336
21,50.0
22,46.666666666666664
23,36.666666666666664
24,30.0
25,36.666666666666664
26,33.33333333333333
27,36.666666666666664
28,63.33333333333333
29,33.33333333333333
30,60.0
31,23.333333333333332
32,60.0
33,36.666666666666664
34,56.666666666666664
35,40.0
36,56.666666666666664
37,33.33333333333333
38,26.666666666666668
39,40.0
40,73.33333333333333
41,20.0
42,30.0
43,43.333333333333336
